elected	under	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Predicative_Participle_copulative	In 1864 , Andrew Johnson -LRB- a War Democrat from Tennessee -RRB- was elected Vice President under Abraham Lincoln .
grandson	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Dasaratha was a grandson of the Mauryan ruler Ashoka .
demand	from	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Umar demanded , from Abu Bakr , the immediate dismissal of Khalid .
nominate		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Umar -LRB- Umar ibn al-Khattab -RRB- , a prominent companion of Muhammad , nominated Abu Bakr .
demand	from	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	` Umar demanded , from Abu Bakr , the immediate dismissal of Khalid .
impose		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	Abu Bakr imposed Umar as his successor prior to his death in 634 .
then follow		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Abu Bakr was followed by Umar as caliph of the Rashidun Caliphate , then by Uthman ibn Affan and finally by Ali .
nominate		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Abu Bakr , a companion of Muhammad , was nominated by Umar and elected as the first Sunni Rightly Guided Caliph .
left sheet	with	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	Before he died , Abu Bakr left the sheets with Umar who in turn left it with his daughter Hafsah .
appoint		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	On his deathbed , Abu Bakr appointed Umar as his successor without an election by the community of Believers .
replace		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Axayacatl was replaced by his brother Tizoc .
handed	to	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	Babur handed over the city of Hisar to Humayun as a reward for his success on his first military expedition .
eldest son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	In 1972 , Chiang Ching-kuo -LRB- 蔣經國 -RRB- , the eldest son of Chiang Kai-shek , became prime minister in Taiwan .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Chiang Ching-kuo was the son of the late President Chiang Kai-shek .
build	unlike	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Unlike his father Chiang Kai-shek , Chiang Ching-kuo built himself a folksy reputation that remains generally known even among local Taiwanese electorate .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	And for many years women reigned in Saba -- until the kingdom of Solomon , the son of David .
learn amount	from	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Solomon -LRB- Sulayman , سليمان -RRB- learned a significant amount from his father David before being made a prophet by God .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	The Bible records that David was succeeded by his son Solomon , who builtthe Holy Temple on Mount Moriah .
select		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	Alternatively , Domitian may have selected Nerva as his colleague to emphasise the stability and status-quo of the regime .
quote		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Transitive_passive	John was quoted by Eleanor of Aquitaine .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Seiwa was the fourth son of Emperor Montoku .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Albert was succeeded in command of the XII corps by his brother Prince George .
grandson	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Albert was a grandson of the King George of Podebrady of Bohemia .
murder		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Galba was murdered by Otho , who was defeated by Vitellius .
born	to	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Predicative_Participle_passive	Elector Frederick William was born in Berlin to George William , Elector of Brandenburg , and Elisabeth Charlotte of the Palatinate .
live	in	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Heinrich lived in Prince George .
kill		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	In the meantime , Hafizullah Amin was killed and replaced by Babrak Karmal .
given	to	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Predicative_Participle_passive	Anand drafted Indira Gandhi 's will , which was later given to Prime Minister Rajiv Gandhi , after her death .
son	from	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	His prename Rajiv is a tribute to Rajiv Gandhi , the son from Indira Gandhi , assassinated in May 1991 .
follow		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Emperor Shah Jahan followed Jahangir on the Mughal throne .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Jahangir was succeeded by his son Shah Jahan , and Abdul Hasan served as one of Shah Jahan 's closest advisors .
born	to	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Predicative_Participle_passive	Joachim III Frederick was born in Cölln to John George , Elector of Brandenburg , and Sophie of Legnica .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	The action begins in Moscow in March 1985 as Mikhail Gorbachev succeeded Konstantin Chernenko as General Secretary of the Communist Party .
replaced	with	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Predicative_Participle_passive	Kliment Voroshilov was replaced with Semyon Timoshenko as the commander of the Soviet forces in the war on 7 January .
former subsidiary	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	It closed down in 1991 and in 1998 its factories were acquired by ON Semiconductor , a former subsidiary of Motorola .
former part	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	Apple has applied this name to various -LRB- though closely related -RRB- processor models from Freescale , a former part of Motorola .
probably succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Macbeth was succeeded by his stepson Lulach , who was crowned at Scone , probably on 8 September 1057 .
initiate reform	in	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	When Mikhail Gorbachev initiated reforms in the Soviet Union in the 1980s , the SED held to an orthodox line .
then-president	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_appos	He also met Mikhail Gorbachev , the then-President of the Soviet Union , during this time in Montreal .
able	under	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Predicative_Participle_copulative	Under Mikhail Gorbachev , the Soviet Union was able to depose Karmal and replace him with Mohammad Najibullah .
depose karmal	under	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Under Mikhail Gorbachev , the Soviet Union deposed Karmal and replaced him with Mohammad Najibullah .
appeared	in	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Predicative_Participle_copulative	Mikhail Gorbachev had appeared in the Soviet Union with new rules and policies -LRB- glasnost and perestroika -RRB- .
democratisation	in	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_possessive	Democratisation in the Soviet Union was proposed by General Secretary Mikhail Gorbachev in January 1987 .
appeared	in	adjective	AdjectivePredicativeFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Predicative_Participle_copulative	Mikhail Gorbachev had appeared in the Soviet Union in 1985 with new policies -LRB- glasnost and perestroika -RRB- .
last premier	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_appos	Mikhail Gorbachev , the last premier of the Soviet Union , instituted political and economic reforms known as `` perestroika '' .
